place,description,category,price,latitude,longitude
Taman Pintar Yogyakarta,"Taman Pintar Yogyakarta (Javanese: Hanacaraka, ꦠꦩꦤ꧀​ꦥꦶꦤ꧀ꦠꦂ​ꦔꦪꦺꦴꦒꦾꦏꦂꦠ, Taman Pintar Ngayogyakarta) is a tourist attraction located in the center of Yogyakarta City, precisely on Jalan Panembahan Senopati No. 1-3, Yogyakarta, in the Benteng Vredeburg area. This park combines recreational and educational attractions in one location. Taman Pintar has a playground as well as educational facilities that are divided into several zones. Direct access to the former Shopping Center book center also adds value to Taman Pintar. This recreation area is very good for children during their development.\nIn recent years, Taman Pintar has become an alternative tourist spot for the people of Yogyakarta and outside the city. This park, especially the early childhood education area, is equipped with interactive digital technology and video mapping that will spur children's imagination and their interest in technology. Currently there are 35 zones and 3,500 educational game props.",Taman Hiburan,6000,-7.8006715,110.3676551
Keraton Yogyakarta,"Keraton Ngayogyakarta Hadiningrat or Keraton Yogyakarta (Javanese: ꦏꦫꦠꦺꦴꦤ꧀​ꦔꦪꦺꦴꦒꦾꦏꦂꦠ​ꦲꦢꦶꦤꦶꦔꦿꦠ꧀, translit. Karaton Ngayogyakarta Hadiningrat) is the official palace of the Sultanate of Ngayogyakarta Hadiningrat which is now located in the city of Yogyakarta. This palace was founded by Sri Sultan Hamengkubuwana I in 1755 as the Palace/Palace of Yogyakarta which was newly established due to the division of Islamic Mataram with the Giyanti Agreement. This palace is a fraction of the Surakarta Hadiningrat Palace from the Surakarta Sunanate (Surakarta Kingdom). So that the Mataram dynasty was continued by 2 Kingdoms, namely the Yogyakarta Sultanate and the Surakarta Sunanate. The total area of ​​the Yogyakarta palace reaches 184 hectares, which includes the entire area inside the Baluwarti fort, Alun-alun Lor, Alun-alun Kidul, Gladak gate, and the Great Mosque complex of Yogyakarta. Meanwhile, the area of ​​the kedhaton (palace core) reaches 13 hectares. Although the Yogyakarta Sultanate officially became part of the Republic of Indonesia in 1945, the palace building complex still functions as a residence for the sultan and his palace household who still carry out the traditions of the sultanate to this day. This palace is now also one of the tourist attractions in the city of Yogyakarta. Part of the palace complex is a museum that houses various collections belonging to the sultanate, including various gifts from European kings, replicas of palace heirlooms, and gamelan. In terms of its buildings, this palace is one of the best examples of Javanese palace architecture, with luxurious halls and spacious fields and pavilions.",Budaya,15000,-7.8052845,110.3642031
Sindu Kusuma Edupark (SKE),"Sindu Kusuma Edupark (SKE) is a recreational destination located in Yogyakarta. In the seven hectares of the park area that was completed in 2014, there are various rides, both play rides and learning rides that can be enjoyed by all family members. The most famous ride from SKE is its Ferris wheel, which is a play ride and SKE's own icon. If Singapore has a 165-meter-high Flyer, while Malaysia has an 88-meter-high Eye, and in Thailand there is a 60-meter-high Asiatique, Indonesia has Cakra Manggilingan with a height of 48 meters. In Southeast Asia, this Ferris wheel must be satisfied with sitting in sixth place as the tallest Ferris wheel, but at the national level, it sits in first place.",Taman Hiburan,20000,-7.7672973,110.3542486
Museum Benteng Vredeburg Yogyakarta,"Vredeburg Fort Museum (Javanese: ꦩꦸꦱꦶꦪꦸꦩ꧀​ꦧꦺꦠꦺꦁ​ꦮ꦳ꦽꦢꦼꦧꦸꦂꦒ꧀, translit. Vredeburg Fort Museum is a fort located in front of the Agung Building and the Yogyakarta Sultanate Palace. Now, this fort is a museum. In a number of buildings inside this fort there are dioramas about Indonesian history.",Budaya,3000,-7.8002016,110.3663044
De Mata Museum Jogja,"De Mata Museum is one of the museums that contains the most 3D paintings in the world. The number of paintings is around 120 and each painting has a concept with a background that looks real. There are several sizes of paintings in the De Mata Museum from regular size to 5 meters. There are several categories of paintings, namely ornaments, landscapes, sports, famous figures, superheroes, to circus paintings. This museum was founded for people to spend their holidays by increasing their knowledge. This museum offers many unique paintings, for example, there are paintings where you can feel the excitement of walking on a wooden bridge with a steep ravine below it Or struggling to extinguish the hot flames from the dragon's mouth, the painting looks as if it were real. All of that is in the De Mata museum with effects that deceive the eye.",Budaya,50000,-7.8163156,110.3871442
Kampung Wisata Taman Sari,"Taman Sari Yogyakarta or Taman Sari Keraton Yogyakarta (Hanacaraka: ꦠꦩꦤ꧀ꦱꦫꦶꦔꦪꦺꦴꦒꦾꦏꦂꦡ, Tamansari Ngayogyakarta) is the site of the former palace garden or park of the Keraton Ngayogyakarta Hadiningrat, which can be compared to the Bogor Botanical Gardens as the gardens of the Bogor Palace. This garden was built during the era of Sultan Hamengku Buwono I (HB I) in 1758-1765/9. Initially, the garden, which was called ""The Fragrant Garden"", had an area of ​​more than 10 hectares with around 57 buildings in the form of buildings, bathing pools, suspension bridges, water canals, and artificial lakes with artificial islands and underwater tunnels. The garden, which was used effectively between 1765-1812, initially stretched from the southwest of the Kedhaton complex to the southeast of the Magangan complex. However, currently, the only parts of Taman Sari that can be seen are those located in the southwest of the Kedhaton complex.",Taman Hiburan,5000,-7.8100673,110.3594581
Situs Warungboto,"Warungboto Site or Pesanggrahan Rejawinangun is one of the cultural heritage buildings located at Jalan Veteran No.77, Warungboto Village, Umbulharjo District, Yogyakarta City, Special Region of Yogyakarta. Initially, this site was the location of a rest house and bathing place.",Taman Hiburan,0,-7.8102685,110.3931513
Nol Kilometer Jl.Malioboro,"Although it is just an intersection, the 0 km intersection is not an ordinary intersection. Because this intersection can be said to be the center point of the city of Jogja because its location is right in front of the Yogyakarta Palace as the founder of this special area. Moreover, to the north is the center of the tourist crowds of Jogja, namely Jalan Malioboro, so if you are hanging out at the Zero Kilometer intersection, you will really feel the center point of Jogja which is so serene. The 0 Kilometer Point of Yogyakarta is indeed a favorite place for tourists to spend time, especially in the afternoon and evening which are always crowded with tourists who just hang out on the many seats provided around the intersection.",Taman Hiburan,0,-7.8013803,110.3647652
Gembira Loka Zoo,"Gembira Loka Zoo is usually called Gembira Loka Zoo (abbreviated GL Zoo, Javanese: ꦏꦼꦧꦺꦴꦤ꧀​ꦫꦗ​ꦒꦼꦩ꧀ꦧꦶꦫ​ꦭꦺꦴꦏ, translit. Kêbon Raja Gêmbira Loka) is a zoo located in the city of Yogyakarta. Contains various species from around the world, such as orangutans, Asian elephants, chimpanzees, tigers, and so on. Gembira Loka Zoo is a special attraction for tourists to Yogyakarta. Gembira Loka Zoo was badly damaged by the 2006 Yogyakarta earthquake. However, after being renovated, Gembira Loka Zoo is still sought after by tourists.",Cagar Alam,60000,-7.8062344,110.3967977
Sumur Gumuling,Sumur Gumuling is one of the places for worship or religious activities in the past. Sumur Gumuling was a mosque during the reign of Sri Sultan Hamengkubuwana I and II.,Taman Hiburan,7000,-7.8087911,110.3591825
